,cast,crew,id
1169,"['Joseph Cotten', 'Alida Valli', 'Orson Welles']",Carol Reed,1092
1170,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']",Martin Scorsese,769
1171,"['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright']",Ridley Scott,348
1172,"['Bruce Campbell', 'Embeth Davidtz', 'Marcus Gilbert']",Sam Raimi,766
1173,"['Jean-Marc Barr', 'Jean Reno', 'Rosanna Arquette']",Luc Besson,175
1174,"['Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû']",Akira Kurosawa,11645
1175,"['Chow Yun-fat', 'Danny Lee Sau-Yin', 'Sally Yeh']",John Woo,10835
1176,"['Anthony Perkins', 'Vera Miles', 'John Gavin']",Alfred Hitchcock,539
1177,"['Dan Aykroyd', 'John Belushi', 'James Brown']",John Landis,525
1178,"['Al Pacino', 'Robert Duvall', 'Diane Keaton']",Francis Ford Coppola,240
1179,"['Matthew Modine', 'Adam Baldwin', ""Vincent D'Onofrio""]",Stanley Kubrick,600
1180,['Peter Sallis'],Nick Park,530
1181,"['Kenneth Branagh', 'Derek Jacobi', 'Brian Blessed']",Kenneth Branagh,10705
1182,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']",Miloš Forman,279
1183,"['John Wayne', ""Maureen O'Hara"", 'Victor McLaglen']",John Ford,3109
1184,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",Sergio Leone,311
1185,"['Robert De Niro', 'Joe Pesci', 'Cathy Moriarty']",Martin Scorsese,1578
1186,"['Woody Allen', 'Diane Keaton', 'Tony Roberts']",Woody Allen,703
1187,"['Fred Ward', 'Dennis Quaid', 'Ed Harris']",Philip Kaufman,9549
1188,"['Aleksandr Kaydanovskiy', 'Анатолій Солоніцин', 'Nikolay Grinko']",Andrei Tarkovsky,1398
1189,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",Wolfgang Petersen,387
1190,"['Paul Newman', 'Robert Redford', 'Robert Shaw']",George Roy Hill,9277
1191,"['Ruth Gordon', 'Bud Cort', 'Cyril Cusack']",Hal Ashby,343
1192,"['Adrienne Shelly', 'Martin Donovan', 'Merritt Nelson']",Hal Hartley,37291
1193,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot']",Ingmar Bergman,490
1194,"['Burt Lancaster', 'Peter Riegert', 'Fulton Mackay']",Bill Forsyth,11235
1195,"['Arnold Schwarzenegger', 'Michael Biehn', 'Linda Hamilton']",James Cameron,218
1196,"['Tim Balme', 'Diana Peñalver', 'Elizabeth Moody']",Peter Jackson,763
1197,"['Matthew Broderick', 'Denzel Washington', 'Cary Elwes']",Edward Zwick,9665
1198,"['Gary Oldman', 'Tim Roth', 'Richard Dreyfuss']",Tom Stoppard,18971
1199,"['Woody Allen', 'Diane Keaton', 'Michael Murphy']",Woody Allen,696
1200,"['John Turturro', 'Gabriel Byrne', 'Marcia Gay Harden']",Joel Coen,379
1201,"['Robin Williams', 'Ethan Hawke', 'Robert Sean Leonard']",Peter Weir,207
1202,"['Dustin Hoffman', 'Anne Bancroft', 'Katharine Ross']",Mike Nichols,37247
1203,"['Charlton Heston', 'Janet Leigh', 'Orson Welles']",Orson Welles,1480
1204,"['Anne Parillaud', 'Marc Duret', 'Patrick Fontana']",Luc Besson,9322
1205,"['William Holden', 'Alec Guinness', 'Jack Hawkins']",David Lean,826
1206,"['Marcello Mastroianni', 'Claudia Cardinale', 'Anouk Aimée']",Federico Fellini,422
1207,"['Jack Nicholson', 'Faye Dunaway', 'John Huston']",Roman Polanski,829
1208,"['Michael Rennie', 'Patricia Neal', 'Billy Gray']",Robert Wise,828
1209,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt']",John Huston,3090
1210,"['Terry Potter', ""Pete O'Herne"", 'Craig Smith']",Peter Jackson,9964
1211,"['Groucho Marx', 'Harpo Marx', 'Chico Marx']",Leo McCarey,3063
1212,"['John Cusack', 'David Ogden Stiers', 'Kim Darby']",Savage Steve Holland,13667
1213,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']",Stanley Kubrick,694
1214,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman']",Rob Reiner,235
1215,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']",Fritz Lang,832
1216,"['Bruce Campbell', 'Sarah Berry', 'Dan Hicks']",Sam Raimi,765
1217,"['Steve McQueen', 'James Garner', 'Richard Attenborough']",John Sturges,5925
1218,"['Robert De Niro', 'John Cazale', 'John Savage']",Michael Cimino,11778
1219,"['Frédéric Andréi', 'Richard Bohringer', 'Roland Bertin']",Jean-Jacques Beineix,4485
1220,"['Bill Murray', 'Andie MacDowell', 'Chris Elliott']",Harold Ramis,137
1221,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']",Clint Eastwood,33
1222,"['Frank Sinatra', 'Laurence Harvey', 'Angela Lansbury']",John Frankenheimer,982
1223,"['Christian Slater', 'Samantha Mathis', 'Annie Ross']",Allan Moyle,8428
1224,"['Cary Grant', 'Priscilla Lane', 'Raymond Massey']",Frank Capra,212
1225,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']",Robert Zemeckis,105
1226,"['Kathy Bates', 'Mary-Louise Parker', 'Jessica Tandy']",Jon Avnet,1633
1227,"['George C. Scott', 'Karl Malden', 'Stephen Young']",Franklin J. Schaffner,11202
1228,"['Tom Waits', 'John Lurie', 'Roberto Benigni']",Jim Jarmusch,1554
1229,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama']",Katsuhiro Ōtomo,149
1230,"['Christopher Lambert', 'Roxanne Hart', 'Clancy Brown']",Russell Mulcahy,8009
1231,"['Paul Newman', 'George Kennedy', 'Luke Askew']",Stuart Rosenberg,903
1232,"['Gérard Depardieu', 'Anne Brochet', 'Vincent Pérez']",Jean-Paul Rappeneau,11673
1233,"['Gene Wilder', 'Peter Boyle', 'Marty Feldman']",Mel Brooks,3034
1234,"['Winona Ryder', 'Gena Rowlands', 'Lisanne Falk']",Jim Jarmusch,339
1235,"['Gong Li', 'Ma Jing-Wu', 'He Saifei']",Zhang Yimou,10404
1236,"['Charlie Chaplin', 'Jack Oakie', 'Reginald Gardiner']",Charlie Chaplin,914
1237,"['Deems Taylor', 'Walt Disney', 'Julietta Novis']",Samuel Armstrong,756
1238,"['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell']",Fred Zinnemann,288
1239,"['Humphrey Bogart', 'Lauren Bacall', 'John Ridgely']",Howard Hawks,910
1240,"['Winona Ryder', 'Christian Slater', 'Shannen Doherty']",Michael Lehmann,2640
1241,"['Christopher Reeve', 'Jane Seymour', 'Christopher Plummer']",Jeannot Szwarc,16633
1242,"['Charlton Heston', 'Jack Hawkins', 'Haya Harareet']",William Wyler,665
1243,"['Christopher Guest', 'Michael McKean', 'Harry Shearer']",Rob Reiner,11031
1244,"['Lou Dobbs', 'Ted Koppel']",Godfrey Reggio,11314
1245,"['Eric Stoltz', 'Mary Stuart Masterson', 'Lea Thompson']",Howard Deutch,15143
1246,"['Harrison Ford', 'Sean Connery', 'Denholm Elliott']",Steven Spielberg,89
1247,"['Peter Sellers', 'Shirley MacLaine', 'Melvyn Douglas']",Hal Ashby,10322
1248,"['Ben Kingsley', 'Candice Bergen', 'Edward Fox']",Richard Attenborough,783
1249,"['Daniel Day-Lewis', 'Juliette Binoche', 'Lena Olin']",Philip Kaufman,10644
1250,"['Maggie Smith', 'Helena Bonham Carter', 'Denholm Elliott']",James Ivory,11257
1251,"['Val Kilmer', 'Gabriel Jarret', 'Michelle Meyrink']",Martha Coolidge,14370
1252,"['Christine Hargreaves', 'James Laurenson', 'Eleanor David']",Alan Parker,12104
1253,"['Sam Waterston', 'Haing S. Ngor', 'Craig T. Nelson']",Roland Joffé,625
1254,"['Anton Glanzelius', 'Tomas von Brömssen', 'Anki Lidén']",Lasse Hallström,8816
1255,"['Walter Pidgeon', 'Anne Francis', 'Leslie Nielsen']",Fred M. Wilcox,830
1256,"['Kevin Costner', 'Amy Madigan', 'Gaby Hoffmann']",Phil Alden Robinson,2323
1257,"['Sean Connery', 'Michael Caine', 'Christopher Plummer']",John Huston,983
1258,"['Paul Newman', 'Robert Redford', 'Katharine Ross']",George Roy Hill,642
1259,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell']",Wim Wenders,655
1260,"['William Hurt', 'Solveig Dommartin', 'Chick Ortega']",Wim Wenders,10341
1261,"['Meg Ryan', 'Billy Crystal', 'Carrie Fisher']",Rob Reiner,639
1262,"['John Stockwell', 'Janeane Garofalo', 'Brian Drillinger']",Keoni Waxman,266022
1263,"['Gabriel Mann', 'Laurence Mason', 'Murphy Guyer']",John G. Young,168450
1264,"['Valerie M. Agnew', 'Carrie Akre', 'Jeff Ament']",Doug Pray,30180
1265,"['Hulk Hogan', 'Mila Kunis', 'Don Stark']",John Murlowski,31388
1266,"['Tilda Swinton', 'Amy Madigan', 'Karen Sillas']",Susan Streitfeld,41801
1267,"['Richard Dreyfuss', 'Ellen Barkin', 'Jeff Goldblum']",Larry Bishop,66034
1268,"['Susan Floyd', 'Nadia Dajani', 'Dan Futterman']",Jon Sherman,348138
1269,"['Gisèle Freund', 'Sylvia Beach', 'Janet Flanner']",Greta Schiller,96288
1270,"['Walter Matthau', 'Ossie Davis', 'Amy Irving']",Herb Gardner,61536
1271,"['Sean Pertwee', 'Catherine Zeta-Jones', 'Ewan McGregor']",Carl Prechezer,18762
1272,[],,331367
1273,"['Sigourney Weaver', 'Charles S. Dutton', 'Charles Dance']",David Fincher,8077
1274,"['David Naughton', 'Jenny Agutter', 'Griffin Dunne']",John Landis,814
1275,"['Stephen Macht', 'Shawn Weatherly', 'Megan Ward']",Tony Randel,41671
1276,"['Tony Roberts', 'Tess Harper', 'Robert Joy']",Richard Fleischer,27214
1277,"['Robin Thomas', 'Starr Andreeff', 'Allen Cutler']",Steve White,52263
1278,"['Ross Partridge', 'Robert Harvey', 'Lala Sloatman']",John Murlowski,33519
1279,"['James Olson', 'Burt Young', 'Rutanya Alda']",Damiano Damiani,16235
1280,"['James Brolin', 'Margot Kidder', 'Rod Steiger']",Stuart Rosenberg,11449
1281,"['Kim Coates', 'Dawna Wightman', 'Helen Hughes']",Tom Bery,41848
1282,"['Udo Kier', 'Joe Dallesandro', 'Vittorio De Sica']",Paul Morrissey,25944
1283,"['Deborah Foreman', 'Thomas F. Wilson', 'Lloyd Berry']",Fred Walton,24913
1284,"['Anthony Hopkins', 'Marsha Mason', 'John Beck']",Robert Wise,49126
1285,"['Martin Sheen', 'Helen Shaver', 'Harley Cross']",John Schlesinger,32076
1286,"['Tippi Hedren', 'Rod Taylor', 'Suzanne Pleshette']",Alfred Hitchcock,571
1287,"['Steve McQueen', 'Aneta Corsaut', 'Earl Rowe']",Irvin S. Yeaworth Jr.,8851
1288,"['David Huffman', 'Marianna Hill', 'Burt Young']",Jeffrey Bloom,37843
1289,"['Jeff Fahey', 'Lindsay Duncan', 'Kim Delaney']",Eric Red,32146
1290,"['Boris Karloff', 'Bela Lugosi', 'Henry Daniell']",Robert Wise,30346
1291,"['Gary Oldman', 'Winona Ryder', 'Anthony Hopkins']",Francis Ford Coppola,6114
1292,"['Boris Karloff', 'Colin Clive', 'Ernest Thesiger']",James Whale,229
1293,"['Karen Black', 'Oliver Reed', 'Burgess Meredith']",Dan Curtis,13549
1294,"['Virginia Madsen', 'Tony Todd', 'Xander Berkeley']",Bernard Rose,9529
1295,"['Robert De Niro', 'Nick Nolte', 'Jessica Lange']",Martin Scorsese,1598
1296,"['Gregory Peck', 'Robert Mitchum', 'Polly Bergen']",J. Lee Thompson,11349
1297,"['Sissy Spacek', 'Piper Laurie', 'Amy Irving']",Brian De Palma,7340
1298,"['Nastassja Kinski', 'Malcolm McDowell', 'John Heard']",Paul Schrader,6217
1299,"['John Saxon', 'Ronee Blakley', 'Heather Langenkamp']",Wes Craven,377
1300,"['Max Schreck', 'Gustav von Wangenheim', 'Greta Schröder']",F.W. Murnau,653
1301,"['Klaus Kinski', 'Christopher Plummer', 'Donald Pleasence']",Augusto Caminito,28198
1302,"['Gregory Peck', 'Lee Remick', 'David Warner']",Richard Donner,794
1303,"['Jack Nicholson', 'Stephen Dorff', 'Jennifer Lopez']",Bob Rafelson,31640
1304,"['Matt Dillon', 'Faye Dunaway', 'Gary Sinise']",Kevin Spacey,8744
1305,"['Barbra Streisand', 'Jeff Bridges', 'Lauren Bacall']",Barbra Streisand,25189
1306,"['Emily Watson', 'Stellan Skarsgård', 'Katrin Cartlidge']",Lars von Trier,145
1307,"['Ewan McGregor', 'Patricia Arquette', 'Nick Nolte']",Ole Bornedal,2212
1308,"['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner']",Jonathan Frakes,199
1309,"['Geoffrey Rush', 'Noah Taylor', 'Armin Mueller-Stahl']",Scott Hicks,7863
1310,"['Billy Bob Thornton', 'Dwight Yoakam', 'J.T. Walsh']",Billy Bob Thornton,12498
1311,"['Arnold Schwarzenegger', 'Phil Hartman', 'Sinbad']",Brian Levant,9279
1312,"['Tomás Milián', 'Daniela Silverio', 'Christine Boisson']",Michelangelo Antonioni,53234
1313,"['Joe Berlinger', 'Bruce Sinofsky', 'Jessie Miskelly']",Joe Berlinger,17204
1314,"['Denzel Washington', 'Whitney Houston', 'Courtney B. Vance']",Penny Marshall,21539
1315,"['Stellan Skarsgård', 'Gard B. Eidsvold', 'Bjørn Sundquist']",Hans Petter Moland,85589
1316,"['Charles Berling', 'Jean Rochefort', 'Fanny Ardant']",Patrice Leconte,12709
1317,"['Daniel Day-Lewis', 'Winona Ryder', 'Paul Scofield']",Nicholas Hytner,20539
1318,"['Glenn Close', 'Jeff Daniels', 'Joely Richardson']",Stephen Herek,11674
1319,"['Raf Vallone', 'Alain Cuny', 'Gino Cervi']",Curzio Malaparte,199512
1320,"['Béatrice Dalle', 'Richard Courcet', 'Alex Descas']",Claire Denis,64900
1321,"['Bruce Willis', 'Bonnie Bedelia', 'William Atherton']",Renny Harlin,1573
1322,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']",Robert Wise,152
1323,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']",Nicholas Meyer,174
1324,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']",William Shatner,172
1325,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']",Nicholas Meyer,154
1326,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']",Leonard Nimoy,157
1327,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']",Leonard Nimoy,168
1328,"['Michael Keaton', 'Danny DeVito', 'Michelle Pfeiffer']",Tim Burton,364
1329,"['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips']",Christopher Cain,11967
1330,"['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips']",Geoff Murphy,9086
1331,"['John Travolta', 'Olivia Newton-John', 'Stockard Channing']",Randal Kleiser,621
1332,"['Maxwell Caulfield', 'Michelle Pfeiffer', 'Lorna Luft']",Patricia Birch,9037
1333,"['Steven Seagal', 'Basil Wallace', 'Keith David']",Dwight H. Little,10173
1334,"['Christopher Lambert', 'Natasha Henstridge', 'Norbert Weisser']",Albert Pyun,55687
1335,"['Tony Goldwyn', 'Timothy Hutton', 'Ron Rifkin']",Daniel J. Sullivan,168535
1336,"['Steven Seagal', 'Tommy Lee Jones', 'Gary Busey']",Andrew Davis,8845
1337,"['Sterling Hayden', 'Sebastian Cabot', 'Carol Kelly']",Joseph H. Lewis,46681
1338,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']",Steven Spielberg,578
1339,"['Roy Scheider', 'Lorraine Gary', 'Murray Hamilton']",Jeannot Szwarc,579
1340,"['Dennis Quaid', 'Bess Armstrong', 'Simon MacCorkindale']",Joe Alves,17692
1341,"['Jack Lemmon', 'James Garner', 'Dan Aykroyd']",Peter Segal,17795
1342,"['Jack Nicholson', 'Glenn Close', 'Annette Bening']",Tim Burton,75
1343,"['Laura Dern', 'Swoosie Kurtz', 'Kurtwood Smith']",Alexander Payne,13891
1344,"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger']",Cameron Crowe,9390
1345,"['Nicolas Cage', 'Holly Hunter', 'Trey Wilson']",Joel Coen,378
1346,"['Richard Dreyfuss', 'Danny DeVito', 'Barbara Hershey']",Barry Levinson,10896
1347,"['Robert Redford', 'Sidney Poitier', 'Dan Aykroyd']",Phil Alden Robinson,2322
1348,"['Jennifer Jason Leigh', 'Lyle Lovett', 'Christina Ricci']",Anjelica Huston,41240
1349,"['Sandra Bullock', ""Chris O'Donnell"", 'Mackenzie Astin']",Richard Attenborough,26949
1350,"['Diane Keaton', 'Meryl Streep', 'Leonardo DiCaprio']",Jerry Zaks,9819
1351,"['Gabriel Byrne', 'Nastassja Kinski', 'Johnny Whitworth']",Martin Donovan,49799
1352,"['Alec Baldwin', 'James Woods', 'Virginia Madsen']",Rob Reiner,31908
1353,"['Andy García', 'Ian Holm', 'James Gandolfini']",Sidney Lumet,46027
1354,"['Mike Judge', 'Bruce Willis', 'Demi Moore']",Mike Judge,3179
1355,"['Sandrine Bonnaire', 'Isabelle Huppert', 'Jean-Pierre Cassel']",Claude Chabrol,1802
1356,"['David Arquette', 'Neve Campbell', 'Courteney Cox']",Wes Craven,4232
1357,"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means']",Michael Mann,9361
1358,"['John Travolta', 'Andie MacDowell', 'William Hurt']",Nora Ephron,2928
1359,"['Shirley MacLaine', 'Jack Nicholson', 'Bill Paxton']",Robert Harling,30285
1360,"['Kenneth Branagh', 'Derek Jacobi', 'Julie Christie']",Kenneth Branagh,10549
1361,"['Helen Mirren', 'Fionnula Flanagan', 'Aidan Gillen']",Terry George,58102
1362,"[""Vincent D'Onofrio"", 'Renée Zellweger', 'Ann Wedgeworth']",Dan Ireland,18451
1363,"['Albert Brooks', 'Debbie Reynolds', 'Rob Morrow']",Albert Brooks,27265
1364,"['Catherine Deneuve', 'Daniel Auteuil', 'Laurence Côte']",André Téchiné,49935
1365,"['Madonna', 'Antonio Banderas', 'Jonathan Pryce']",Alan Parker,8818
1366,"['Nicole Kidman', 'John Malkovich', 'Barbara Hershey']",Jane Campion,36758
1367,"['Jenny Agutter', 'Luc Roeg', 'David Gulpilil']",Nicolas Roeg,36040
1368,"['Jimi Hendrix', 'Free', 'Taste']",Murray Lerner,74239
1369,"['Wesley Snipes', 'Diane Lane', 'Alan Alda']",Dwight H. Little,9415
1370,"['Danny Keogh', 'Patrick Shai', 'Septula Sebogodi']",Ralph Ziman,55146
1371,"['Nigel Hawthorne', 'Eric Stoltz', 'Louis Gossett, Jr.']",Arthur Penn,303693
1372,"['John Cleese', 'Jamie Lee Curtis', 'Kevin Kline']",Fred Schepisi,12145
1373,"['Steve Guttenberg', 'Kathleen Quinlan', 'Arnold Vosloo']",George T. Miller,42424
1374,"['Ray Liotta', 'Lauren Holly', 'Brendan Gleeson']",Robert Butler,34314
1375,"['John Lynch', 'Jacqueline McKenzie', 'Colin Friels']",Michael Rymer,2892
1376,"['Jackie Chan', 'Bill Tung', 'Jackson Liu']",Stanley Tong,9404
1377,"['Denis Leary', 'Joe Mantegna', 'Annabella Sciorra']",Roger Christian,85242
1378,"['Chris Farley', 'Nicollette Sheridan', 'Robin Shou']",Dennis Dugan,9622
1379,"['Eddie Murphy', 'Kim Miyori', 'Art Evans']",Thomas Carter,8860
1380,"['Gérard Depardieu', 'Nathalie Baye', 'Didier Bourdon']",François Dupeyron,197537
1381,"['Elliott Gould', 'Susannah York', 'Kaye Ballard']",Steven Paul,66597
1382,"['Andrew Robertson', 'Charlotte Gainsbourg', 'Alice Coulthard']",Andrew Birkin,14832
1383,"['Pierce Brosnan', 'Linda Hamilton', 'Jamie Renée Smith']",Roger Donaldson,9619
1384,"['Rodney Dangerfield', 'Debi Mazar', 'Burt Reynolds']",Peter Baldwin,40506
1385,"['Samuel L. Jackson', 'Michael Lerner', 'Margaret Colin']",E. Max Frye,31000
1386,"['Johnny Depp', 'Mary Stuart Masterson', 'Aidan Quinn']",Jeremiah S. Chechik,4104
1387,"['Jared Leto', 'R. Lee Ermey', ""Ed O'Neill""]",Steve James,26306
1388,[],Stefan Schwietert,203829
1389,"['Carlos Cruz ', 'Raúl Eguren ', 'Pedro Fernández ']",Tomás Gutiérrez Alea,43775
1390,"['Tom Arnold', 'Dean Stockwell', 'Debra Messing']",Bryan Spicer,14908
1391,"['Andrei Chalimon', 'Zdeněk Svěrák', 'Libuše Šafránková']",Jan Svěrák,784
1392,"['Tupac Amaru Shakur', 'Tim Roth', 'Thandie Newton']",Vondie Curtis-Hall,12489
1393,[],,168283
1394,"['Christopher Guest', 'Eugene Levy', 'Fred Willard']",Christopher Guest,16448
1395,"['Oleg Menshikov', 'Sergei Bodrov Jr.', 'Jemal Sikharulidze']",Sergei Bodrov Jr.,55936
1396,"['Timothy Dalton', 'Fran Drescher', 'Michael Lerner']",Ken Kwapis,17894
1397,"['Jayce Bartok', 'Amie Carey', 'Nicky Katt']",Richard Linklater,28059
1398,"['Aden Young', 'Saffron Burrows', 'Simon Bossell']",Craig Rosenberg,58911
1399,"['John Leguizamo', 'Jeffrey Jones', 'Edoardo Ballerini']",R. Paul Miller,17949
1400,"['Matthew Perry', 'Salma Hayek', 'Jon Tenney']",Andy Tennant,1968
1401,"['LL Cool J', 'Gina Gershon', 'Conchata Ferrell']",Paul Schrader,61563
1402,"['Clint Eastwood', 'Gene Hackman', 'Ed Harris']",Clint Eastwood,66
1403,"['Christina Ricci', 'Doug E. Doug', 'Dean Jones']",Bob Spiers,20735
1404,"['Chevy Chase', ""Beverly D'Angelo"", 'Randy Quaid']",Stephen Kessler,11419
1405,[],,333165
1406,"['Dennis Farina', 'Paula Marshall', 'Danny Nucci']",Carl Reiner,25796
1407,"['Bill Pullman', 'Patricia Arquette', 'John Roselius']",David Lynch,638
1408,"['Ving Rhames', 'Jon Voight', 'Don Cheadle']",John Singleton,25624
1409,"['Johnny Depp', 'Al Pacino', 'Michael Madsen']",Mike Newell,9366
1410,"['Gad Elmaleh', 'Messaoud Hattau', 'magaly Berdy']",Merzak Allouache,60083
1411,"['Jamie Foxx', 'Tommy Davidson', 'Vivica A. Fox']",Jeff Pollack,21915
1412,"['Dr. Dre', 'Nas', 'RZA']",Peter Spirer,90928
1413,"['Michael Saucedo', 'Justin Urich', 'Milo Ventimiglia']",Mark Christopher,50091
1414,"['Harvey Keitel', 'Timothy Hutton', 'Stephen Dorff']",John Irvin,18420
1415,"['Dean Cain', 'Andy Dick', 'Sean Patrick Flanery']",Tamra Davis,19952
1416,"['Tim Allen', 'Martin Short', 'JoBeth Williams']",John Pasquin,9446
1417,"['Indira Varma', 'Sarita Choudhury', 'Ramon Tikaram']",Mira Nair,28005
1418,"['Howard Stern', 'Mary McCormack', 'Kelly Bishop']",Betty Thomas,9403
1419,"['Larenz Tate', 'Nia Long', 'Isaiah Washington']",Theodore Witcher,27322
1420,"['Val Kilmer', 'Elisabeth Shue', 'Rade Serbedzija']",Phillip Noyce,10003
1421,"['Julia Ormond', 'Gabriel Byrne', 'Richard Harris']",Bille August,9311
1422,"['Colm Meaney', ""Donal O'Kelly"", 'Ger Ryan']",Stephen Frears,11844
1423,"['James Spader', 'Deborah Kara Unger', 'Holly Hunter']",David Cronenberg,884
1424,"['Stanley Tucci', 'Hope Davis', 'Parker Posey']",Greg Mottola,49806
1425,"['Jim Carrey', 'Maura Tierney', 'Cary Elwes']",Tom Shadyac,1624
1426,"[""Celine O'Leary"", 'Paul Blackwell', 'Chloe Ferguson']",Rolf de Heer,88423
1427,"['Jennifer Lopez', 'Edward James Olmos', 'Constance Marie']",Gregory Nava,16052
1428,"['Harrison Ford', 'Brad Pitt', 'Margaret Colin']",Alan J. Pakula,4477
1429,"['Scott Bakula', 'Jasmine Guy', 'Natalie Cole']",Mark Dindal,24662
1430,"['Halle Berry', 'Martin Landau', 'Ian Richardson']",Robert Townsend,18423
1431,"['Matt Day', 'Matthew Dyktynski', 'Alice Garner']",Emma-Kate Croghan,76996
1432,"['Johnny Yong Bosch', 'Nakia Burrise', 'Jason David Frank']",Shuki Levy,6499
1433,"['Sophie Marceau', 'Sean Bean', 'Alfred Molina']",Bernard Rose,50512
1434,"['Jean-Claude Van Damme', 'Dennis Rodman', 'Mickey Rourke']",Tsui Hark,9405
1435,"['Joaquin Phoenix', 'Liv Tyler', 'Jennifer Connelly']",Pat O'Connor,12723
1436,"['Jennifer Lopez', 'Ice Cube', 'Jon Voight']",Luis Llosa,9360
1437,"['John Cusack', 'Minnie Driver', 'Dan Aykroyd']",George Armitage,9434
1438,"['Eric Stoltz', 'James Spader', 'Deborah Kara Unger']",Leslie Greif,118991
1439,"['Molly Parker', 'Peter Outerbridge', 'Jay Brazeau']",Lynne Stopkewich,21626
1440,"['Joe Pesci', 'Kristy Swanson', 'George Hamilton']",Tom Schulman,13982
1441,"['Martin Donovan', 'Ian Hart', 'Joely Richardson']",Angela Pope,93946
1442,"['Glenn Close', 'Frances McDormand', 'Pauline Collins']",Bruce Beresford,77223
1443,"['Bill Paxton', 'Julianna Margulies', 'James Gammon']",Jack Green,31465
1444,"['Alison Folland', 'Tara Subkoff', 'Cole Hauser']",Alex Sichel,12793
1445,"['Nick Chinlund', 'Michael Raynor', 'Justin Pierce']",Seth Zvi Rosenfeld,102878
1446,"['Pierre Richard', 'Micheline Presle', 'Nino Kirtadze']",Nana Dzhordzhadze,105763
1447,"['Mira Sorvino', 'Lisa Kudrow', 'Janeane Garofalo']",David Mirkin,9611
1448,"['Leslie Cheung', 'Gong Li', 'Kevin Lin']",Chen Kaige,47694
1449,"['Tommy Lee Jones', 'Anne Heche', 'Gaby Hoffmann']",Mick Jackson,10357
1450,"['Judy Davis', 'Sam Neill', 'F. Murray Abraham']",Peter Duncan,9977
1451,"['Mike Myers', 'Elizabeth Hurley', 'Michael York']",Jay Roach,816
1452,"['Kurt Russell', 'J.T. Walsh', 'Kathleen Quinlan']",Jonathan Mostow,2163
1453,"['Rade Serbedzija', 'Aleksandra Vujcic', 'Julian Arahanga']",Gregor Nicholas,124680
1454,"['Aidan Quinn', 'Courteney Cox', 'Anthony LaPaglia']",Daniel Taplitz,16399
1455,"['Monica Keena', 'Daisy Eagan', 'Gordon Currie']",Mo Ogrodnik,124843
1456,"['Vincent Gallo', 'Kiefer Sutherland', 'Max Perlich']",Kiefer Sutherland,31017
1457,"['Gillian Anderson', 'Karen Allen', 'Raymond J. Barry']",L.A. Puopolo,24645
1458,"['Angus Macfadyen', 'Mario Yedidia', 'Marley Shelton']",Ronny Yu,49478
1459,"['Robin Williams', 'Billy Crystal', 'Julia Louis-Dreyfus']",Ivan Reitman,12499
1460,"['Bruce Willis', 'Gary Oldman', 'Ian Holm']",Luc Besson,18
1461,"['Julie Walters', 'Rupert Graves', 'Laura Sadler']",,68545
1462,"['James Duval', 'Rachel True', 'Nathan Bexton']",Gregg Araki,1811
1463,"['Helen Mirren', 'Kyra Sedgwick', 'Beau Bridges']",Kevin Bacon,109614
1464,"['Tisha Campbell-Martin', 'Paula Jai Parker', 'John Witherspoon']",Rusty Cundieff,60082
1465,"['Corinna Harfouch', 'Meret Becker', 'August Zirner']",Margarethe von Trotta,105045
1466,"['Jean-Claude Drouot', 'Claire Drouot', 'Olivier Drouot']",Agnès Varda,53023
1467,"['Jason Alexander', 'John Glover', 'Justin Kirk']",Joe Mantello,64802
1468,"['Koji Yakusho', 'Tamiyo Kusakari', 'Naoto Takenaka']",Masayuki Suo,11239
